Supplier Entered into Supplier Dashboard
[2018-Feb-14 10:41] saikumar 127.0.0.1 POST http /catsubatr_post?catname=Deals 301 MOVED PERMANENTLY
[2018-Feb-14 10:41] saikumar 127.0.0.1 GET http /catsubatr_post/?catname=Deals 200 OK
[2018-Feb-14 10:41] saikumar 127.0.0.1 POST http /attribute_post?catname=Deals&subcatname=Combo%20offers 301 MOVED PERMANENTLY
[2018-Feb-14 10:41] saikumar 127.0.0.1 GET http /attribute_post/?catname=Deals&subcatname=Combo%20offers 200 OK
[2018-Feb-14 10:41] saikumar 127.0.0.1 POST http /catsubatr_post?catname=Hand%20Tools 301 MOVED PERMANENTLY
[2018-Feb-14 10:41] saikumar 127.0.0.1 GET http /catsubatr_post/?catname=Hand%20Tools 200 OK
[2018-Feb-14 10:41] saikumar 127.0.0.1 POST http /attribute_post?catname=Hand%20Tools&subcatname=Cutter 301 MOVED PERMANENTLY
[2018-Feb-14 10:41] saikumar 127.0.0.1 GET http /attribute_post/?catname=Hand%20Tools&subcatname=Cutter 200 OK
Sucessfully setup header
[2018-Feb-14 11:59] saikumar 127.0.0.1 GET http /image_setup? 200 OK
[2018-Feb-14 11:59] saikumar 127.0.0.1 GET http /static/js/validations.js? 200 OK
[2018-Feb-14 11:59] saikumar 127.0.0.1 GET http /static/assets/widgets/datatable/datatable.js? 304 NOT MODIFIED
[2018-Feb-14 11:59] saikumar 127.0.0.1 GET http /static/assets/widgets/datatable/datatable-bootstrap.js? 304 NOT MODIFIED
[2018-Feb-14 11:59] saikumar 127.0.0.1 GET http /static/assets/widgets/datatable/datatable-tabletools.js? 304 NOT MODIFIED
Entered into Bulk Products upload
[2018-Feb-14 12:00] saikumar 127.0.0.1 GET http /bulkupload? 200 OK
[2018-Feb-14 12:01] saikumar 127.0.0.1 GET http /supplier_upload? 200 OK
